Job démarré sur gnode4 à Wed Feb 11 12:30:26 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p01__dm0p01
  -> run NK_dim64_t2
     avg_score=0.743046 | runtime=1.08s
  -> run NK_dim64_t4
     avg_score=0.752133 | runtime=1.09s
  -> run NK_dim64_t8
     avg_score=0.740362 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p005__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-198.440002 | runtime=1.08s
  -> run QUBO_dim64_t1
     avg_score=-144.500000 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-138.199997 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-409.179993 | runtime=1.08s
  -> run QUBO_dim64_t4
     avg_score=-330.600006 | runtime=1.08s
  -> run QUBO_dim64_t5
     avg_score=-306.019989 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-580.320007 | runtime=1.11s
  -> run QUBO_dim128_t1
     avg_score=-440.540009 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-425.000000 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1190.760010 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-922.299988 | runtime=1.11s
  -> run QUBO_dim128_t5
     avg_score=-895.599976 | runtime=1.11s
  -> run QUBO_dim256_t0
     avg_score=-1601.680054 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1280.920044 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1222.640015 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3223.320068 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2572.540039 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2527.600098 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.709525 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736394 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.754602 | runtime=1.13s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.732156 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.706938 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734226 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746392 | runtime=1.45s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.714246 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711347 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.742510 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.752121 | runtime=1.09s
  -> run NK_dim64_t8
     avg_score=0.742307 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p005__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-201.279999 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-145.600006 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-137.899994 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-410.899994 | runtime=1.08s
  -> run QUBO_dim64_t4
     avg_score=-332.440002 | runtime=1.08s
  -> run QUBO_dim64_t5
     avg_score=-307.579987 | runtime=1.08s
  -> run QUBO_dim128_t0
     avg_score=-579.619995 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-439.359985 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-426.859985 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1186.859985 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-924.460022 | runtime=1.11s
  -> run QUBO_dim128_t5
     avg_score=-907.580017 | runtime=1.11s
  -> run QUBO_dim256_t0
     avg_score=-1592.180054 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1285.920044 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1213.540039 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3224.639893 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2586.280029 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2518.139893 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.709742 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.735681 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.754828 | runtime=1.13s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.732205 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.706889 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733663 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.744281 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.710997 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711035 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.742257 | runtime=1.08s
  -> run NK_dim64_t4
     avg_score=0.752911 | runtime=1.09s
  -> run NK_dim64_t8
     avg_score=0.740332 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.179993 | runtime=1.08s
  -> run QUBO_dim64_t1
     avg_score=-147.240005 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-137.539993 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-409.679993 | runtime=1.08s
  -> run QUBO_dim64_t4
     avg_score=-331.540009 | runtime=1.08s
  -> run QUBO_dim64_t5
     avg_score=-307.059998 | runtime=1.08s
  -> run QUBO_dim128_t0
     avg_score=-582.719971 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-444.459991 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-427.339996 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1192.579956 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-931.580017 | runtime=1.11s
  -> run QUBO_dim128_t5
     avg_score=-910.380005 | runtime=1.11s
  -> run QUBO_dim256_t0
     avg_score=-1591.180054 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1282.579956 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1215.819946 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3242.659912 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2592.840088 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2537.580078 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.709987 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736670 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757871 | runtime=1.13s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.733107 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707388 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734913 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746030 | runtime=1.45s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.711585 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.710986 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.743585 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.752862 | runtime=1.09s
  -> run NK_dim64_t8
     avg_score=0.742658 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.220001 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-148.539993 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-138.339996 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-413.239990 | runtime=1.08s
  -> run QUBO_dim64_t4
     avg_score=-330.040009 | runtime=1.08s
  -> run QUBO_dim64_t5
     avg_score=-306.579987 | runtime=1.08s
  -> run QUBO_dim128_t0
     avg_score=-578.640015 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-444.820007 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-431.179993 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1180.180054 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-935.559998 | runtime=1.11s
  -> run QUBO_dim128_t5
     avg_score=-904.780029 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1592.979980 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1282.699951 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1216.219971 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3223.120117 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2577.020020 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2518.860107 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710106 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736761 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756060 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.728744 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707275 | runtime=1.38s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734111 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743710 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.697393 | runtime=2.04s
  -> run NK_dim64_t1
     avg_score=0.711156 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.743715 | runtime=1.09s
  -> run NK_dim64_t4
     avg_score=0.753374 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.738600 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-199.720001 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-148.320007 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-139.100006 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-410.000000 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-328.299988 | runtime=1.08s
  -> run QUBO_dim64_t5
     avg_score=-307.220001 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-575.840027 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-437.619995 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-430.399994 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1187.239990 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-932.619995 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-905.559998 | runtime=1.11s
  -> run QUBO_dim256_t0
     avg_score=-1601.040039 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1271.599976 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1217.520020 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3224.340088 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2585.639893 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2530.899902 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710510 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736686 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756734 | runtime=1.13s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730574 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707508 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735307 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746062 | runtime=1.45s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.709072 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.710932 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.744040 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.752451 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.740119 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.460007 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-148.559998 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-138.919998 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-410.600006 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-332.579987 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-308.940002 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-570.900024 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-440.820007 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-426.200012 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1191.780029 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-928.619995 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-897.239990 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1590.060059 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1280.920044 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1214.359985 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3211.939941 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2594.159912 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2517.500000 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710432 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736251 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756272 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.728059 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707298 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734328 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.742563 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.692777 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711608 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.744910 | runtime=1.09s
  -> run NK_dim64_t4
     avg_score=0.754839 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.741639 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.039993 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-147.000000 | runtime=1.09s
  -> run QUBO_dim64_t2
     avg_score=-139.160004 | runtime=1.09s
  -> run QUBO_dim64_t3
     avg_score=-414.619995 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-330.779999 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-309.720001 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-580.559998 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-441.739990 | runtime=1.11s
  -> run QUBO_dim128_t2
     avg_score=-428.940002 | runtime=1.11s
  -> run QUBO_dim128_t3
     avg_score=-1186.239990 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-931.979980 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-911.440002 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1599.959961 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1284.060059 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1233.979980 | runtime=1.31s
     -> TOP 1
  -> run QUBO_dim256_t3
     avg_score=-3227.219971 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2562.159912 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2527.340088 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710553 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737468 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756872 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730831 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707640 | runtime=1.38s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735318 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746395 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.705283 | runtime=2.04s
  -> run NK_dim64_t1
     avg_score=0.711539 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.744672 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.752172 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.739444 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p007__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.899994 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-148.779999 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-137.580002 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-414.920013 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-331.239990 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-309.480011 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-573.479980 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-439.359985 | runtime=1.12s
  -> run QUBO_dim128_t2
     avg_score=-429.059998 | runtime=1.12s
  -> run QUBO_dim128_t3
     avg_score=-1179.359985 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-930.419983 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-893.179993 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1582.319946 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1271.199951 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1206.859985 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3206.560059 | runtime=1.32s
  -> run QUBO_dim256_t4
     avg_score=-2560.540039 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2486.320068 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710494 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736093 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757024 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.725703 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707286 | runtime=1.38s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733672 | runtime=1.40s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743739 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.684784 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711495 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.744178 | runtime=1.09s
  -> run NK_dim64_t4
     avg_score=0.753597 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.741224 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p01__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.419998 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-147.960007 | runtime=1.09s
  -> run QUBO_dim64_t2
     avg_score=-139.320007 | runtime=1.09s
  -> run QUBO_dim64_t3
     avg_score=-410.859985 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-330.119995 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-309.480011 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-578.280029 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-440.040009 | runtime=1.12s
  -> run QUBO_dim128_t2
     avg_score=-428.220001 | runtime=1.12s
  -> run QUBO_dim128_t3
     avg_score=-1191.660034 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-940.960022 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-905.059998 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1593.260010 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1280.540039 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1210.420044 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3227.080078 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2574.419922 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2513.459961 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710675 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737728 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.759142 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.729437 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707659 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735477 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746207 | runtime=1.45s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.701489 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711804 | runtime=1.09s
  -> run NK_dim64_t2
     avg_score=0.743429 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.755817 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.741189 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p01__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-199.460007 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-147.600006 | runtime=1.09s
  -> run QUBO_dim64_t2
     avg_score=-139.160004 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-416.820007 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-333.359985 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-309.220001 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-578.159973 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-440.739990 | runtime=1.12s
  -> run QUBO_dim128_t2
     avg_score=-422.079987 | runtime=1.12s
  -> run QUBO_dim128_t3
     avg_score=-1180.640015 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-937.000000 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-902.599976 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1558.619995 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1273.160034 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1185.459961 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3138.139893 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2537.800049 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2461.219971 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710438 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.736886 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757239 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.713268 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707135 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733453 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.735889 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.649880 | runtime=2.04s
  -> run NK_dim64_t1
     avg_score=0.711604 | runtime=1.08s
  -> run NK_dim64_t2
     avg_score=0.744453 | runtime=1.09s
  -> run NK_dim64_t4
     avg_score=0.754517 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.742438 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p01__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.979996 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-149.639999 | runtime=1.08s
  -> run QUBO_dim64_t2
     avg_score=-139.660004 | runtime=1.08s
  -> run QUBO_dim64_t3
     avg_score=-415.119995 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-334.420013 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-310.100006 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-579.039978 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-437.619995 | runtime=1.12s
  -> run QUBO_dim128_t2
     avg_score=-424.100006 | runtime=1.12s
  -> run QUBO_dim128_t3
     avg_score=-1183.780029 | runtime=1.12s
  -> run QUBO_dim128_t4
     avg_score=-928.539978 | runtime=1.12s
  -> run QUBO_dim128_t5
     avg_score=-907.780029 | runtime=1.12s
  -> run QUBO_dim256_t0
     avg_score=-1600.140015 | runtime=1.31s
  -> run QUBO_dim256_t1
     avg_score=-1275.660034 | runtime=1.31s
  -> run QUBO_dim256_t2
     avg_score=-1212.839966 | runtime=1.31s
  -> run QUBO_dim256_t3
     avg_score=-3214.020020 | runtime=1.31s
  -> run QUBO_dim256_t4
     avg_score=-2562.379883 | runtime=1.31s
  -> run QUBO_dim256_t5
     avg_score=-2497.500000 | runtime=1.31s
  -> run NK_dim128_t1
     avg_score=0.710604 | runtime=1.09s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737571 | runtime=1.10s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757559 | runtime=1.14s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.728007 | runtime=1.41s
  -> run NK_dim256_t1
     avg_score=0.707528 | runtime=1.37s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735102 | runtime=1.39s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.746240 | runtime=1.46s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.693587 | runtime=2.03s
  -> run NK_dim64_t1
     avg_score=0.711842 | runtime=1.09s
  -> run NK_dim64_t2
     avg_score=0.744110 | runtime=1.13s
  -> run NK_dim64_t4
     avg_score=0.754202 | runtime=1.10s
  -> run NK_dim64_t8
     avg_score=0.742448 | runtime=1.22s
[CONFIG] krbf__advnormalizedfitness__M3__L10__eps0p033__g0p01__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-202.479996 | runtime=1.09s
  -> run QUBO_dim64_t1
     avg_score=-148.059998 | runtime=1.09s
  -> run QUBO_dim64_t2
     avg_score=-139.139999 | runtime=1.09s
  -> run QUBO_dim64_t3
     avg_score=-414.839996 | runtime=1.09s
  -> run QUBO_dim64_t4
     avg_score=-334.500000 | runtime=1.09s
  -> run QUBO_dim64_t5
     avg_score=-307.339996 | runtime=1.09s
  -> run QUBO_dim128_t0
     avg_score=-573.320007 | runtime=1.12s
  -> run QUBO_dim128_t1
     avg_score=-437.899994 | runtime=1.12s
  -> run QUBO_dim128_t2
     avg_score=-425.820007 | runtime=1.12s
  -> run QUBO_dim128_t3
